CameraName,CameraSpecsUrl,MSRP,Body type,Max resolution,Image ratio w:h,Effective pixels,Sensor photo detectors,Sensor size,Sensor type,Processor,ISO,Boosted ISO (minimum),Boosted ISO (maximum),White balance presets,Custom white balance,Image stabilization,CIPA image stabilization rating,Uncompressed format,JPEG quality levels,Autofocus,Manual focus,Number of focus points,Lens mount,Focal length multiplier,Articulated LCD,Screen size,Screen dots,Touch screen,Screen type,Live view,Viewfinder type,Viewfinder coverage,Viewfinder magnification,Viewfinder resolution,Minimum shutter speed,Maximum shutter speed,Maximum shutter speed (electronic),Aperture priority,Shutter priority,Manual exposure mode,Built-in flash,External flash,Continuous drive,Self-timer,Metering modes,Exposure compensation,AE Bracketing,Format,Modes,Microphone,Speaker,Storage types,USB,USB charging,HDMI,Microphone port,Headphone port,Wireless,Wireless notes,Remote control,Environmentally sealed,Battery,Battery description,Battery Life (CIPA),Weight (inc. batteries),Dimensions,Orientation sensor,Timelapse recording,GPS,,,
Canon PowerShot S95,https://www.dpreview.com/products/canon/compacts/canon_s95/specifications,Compact,3648 x 2736,"3648 x 2736, 3648 x 2432, 3648 x 2048, 2816 x 2112, 2816 x 1880, 2816 x 1584, 2736 x 2736, 2192 x 2736, 2112 x 2112, 1920 x 1080, 1600 x 1064, 1696 x 2112, 1200 x 1200, 960 x 1200, 640 x 480, 640 x 424, 640 x 360, 480 x 480, 384 x 480, 320 x 240","1:1, 4:3, 3:2, 16:9",10 megapixels,10 megapixels,"1/1.7"" (7.44 x 5.58 mm)",CCD,Digic 4,"Auto, 80, 100, 125, 160, 200, 250, 320, 400, 500, 640, 800, 1000, 1250, 1600, 2000, 2500, 3200",7,Yes,Optical,RAW,"Fine, Normal",28–105 mm,3.8×,F2–4.9,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4x),Yes,50 cm (19.69″),5 cm (1.97″),9,Fixed,3″,461000,No,Yes,None,15 sec,1/1600 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),6.50 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.9 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (24 fps) 640 x 480 (30 fps), 320  x 240 (30 fps)",H.264,Stereo,None,SD/SDHC/SDXC/MMC/MMCplus/HC MMCplus card,USB 2.0 (480 Mbit/sec),Yes,Eye-Fi Connected,No,Battery Pack,Lithium-Ion NB-6L rechargeable battery & charger,195 g (0.43 lb / 6.88 oz),100 x 58 x 30 mm (3.94 x 2.28 x 1.18″),Yes,None,,,,,,,,,,,,
Canon PowerShot SX130 IS,https://www.dpreview.com/products/canon/compacts/canon_sx130is/specifications,Compact,4000 x 3000,"4000 x 2248, 2816 x 2112, 1600 x 1200, 640 x 480, 320 x 240","4:3, 3:2",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Fine, Normal",28–336 mm,12×,F3.4–5.6,Contrast Detect (sensor)SingleLive View,Yes (4x),Yes,1 cm (0.39″),Fixed,3″,230000,No,Yes,None,15 sec,1/2500 sec,Yes,Yes,Yes,Yes (Pop-up),3.00 m,No,"Auto, On, Off, Red-Eye, Slow Sync",1.0 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps), 160 x 120 (15 fps)",H.264,Stereo,SD/SDHC/SDXC/MMC/MMCplus/HC MMCplus,128 MB SD card,USB 2.0 (480 Mbit/sec),No,No,No,AA,2 x AA batteries (NiMH recommended),308 g (0.68 lb / 10.86 oz),113 x 73 x 46 mm (4.45 x 2.87 x 1.81″),Yes,No,None,,,,,,,,,,,,,,,
Canon PowerShot SD4500 IS / Digital IXUS 1000 HS / IXY 50S,https://www.dpreview.com/products/canon/compacts/canon_sd4500is/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",10 megapixels,11 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 4,"Auto, 125 ,100, 200, 400, 800, 1600, 3200",5,Yes,Optical,No,"Fine, Normal",36–360 mm,10×,F3.4–5.6,Contrast Detect (sensor)SingleLive View,Yes (4x),No,3 cm (1.18″),Fixed,3″,230000,No,Yes,None,15 sec,1/4000 sec,No,No,No,Yes,Yes,6.00 m,No,"Auto, On, Off, Red-eye, Fill-in, Slow Syncro",3.7 fps,"Yes (2 sec or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1920 x 1080 (24 fps), 1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps), 320 x 240 (240 fps)",Motion JPEG,Stereo,SD/SDHC/SDXC/MMC/MMCplus/MMCplus HC,USB 2.0 (480 Mbit/sec),Yes,Eye-Fi Connected,No,Battery Pack,Lithium-Ion NB-9L battery & charger,190 g (0.42 lb / 6.70 oz),101 x 59 x 22 mm (3.98 x 2.32 x 0.87″),Yes,None,,,,,,,,,,,,,,,
Canon PowerShot SD4000 IS (IXUS 300 HS / IXY 30S),https://www.dpreview.com/products/canon/compacts/canon_sd4000is/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",10 megapixels,11 megapixels,"1/2.3"" (6.17 x 4.55 mm)",BSI-CMOS,Digic 4,"Auto, 125 ,100, 200, 400, 800, 1600, 3200",5,Yes,Optical,No,"Fine, Normal",28–105 mm,3.8×,F2–5.3,Contrast Detect (sensor)SingleLive View,Yes (4x),No,3 cm (1.18″),Fixed,3″,230000,No,Yes,None,15 sec,1/2500 sec,Yes,Yes,No,Yes,Yes,6.00 m,No,"Auto, On, Off, Red-eye, Fill-in, Slow Syncro",3.7 fps,"Yes (2 sec or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps), 320 x 240 (240 fps)",Motion JPEG,Stereo,SD/SDHC/SDXC/MMC/MMCplus/MMCplus HC,USB 2.0 (480 Mbit/sec),Yes,Eye-Fi Connected,No,Battery Pack,Lithium-Ion NB-6L battery & charger,175 g (0.39 lb / 6.17 oz),100 x 54 x 23 mm (3.94 x 2.13 x 0.91″),Yes,None,,,,,,,,,,,,,,,
Canon PowerShot SX210 IS,https://www.dpreview.com/products/canon/compacts/canon_sx210is/specifications,Compact,4320 x 3240,"4320 x 2432, 3456 x 2592, 2592 x 1944, 2144 x 1608, 1600 x 1200, 640 x 480","4:3, 16:9",14 megapixels,15 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Fine, Normal",28–392 mm,14×,F3.1–5.9,Contrast Detect (sensor)SingleLive View,Yes (4x),Yes,50 cm (19.69″),5 cm (1.97″),9,Fixed,3″,230000,No,Yes,None,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),3.50 m,No,"Auto, On, Off, Red-eye, Fill-in, Slow Syncro, Manual (3 levels)",0.7 fps,"Yes (2 sec or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps)",H.264,Stereo,SD/SDHC/SDXC/MMC/MMCplus/MMCplus HC,No,USB 2.0 (480 Mbit/sec),Yes,Eye-Fi Connected,No,Battery Pack,Lithium-Ion NB-5L battery & charger,220 g (0.49 lb / 7.76 oz),103 x 61 x 38 mm (4.06 x 2.4 x 1.5″),Yes,None,,,,,,,,,,,,
Canon PowerShot SD3500 IS / IXUS 210 / IXY 10S,https://www.dpreview.com/products/canon/compacts/canon_sd3500is/specifications,Compact,4320 x 3240,"4320 x 2432, 3456 x 2592, 2592 x 1944, 2144 x 1608, 1600 x 1200, 640 x 480","4:3, 16:9",14 megapixels,15 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Fine, Normal",24–120 mm,5×,F2.8–5.9,Contrast Detect (sensor)SingleLive View,Yes (4x),No,50 cm (19.69″),3 cm (1.18″),Fixed,3.5″,460000,Yes,No,None,15 sec,1/3000 sec,No,No,No,Yes,Yes,3.50 m,No,"Auto, On, Off, Red-eye, Fill-in, Slow Syncro",0.7 fps,"Yes (2 sec or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps)",H.264,Mono,SD/SDHC/SDXC/MMC/MMCplus/MMCplus HC,USB 2.0 (480 Mbit/sec),Yes,Eye-Fi Connected,No,Battery Pack,Lithium-Ion NB-6L battery & charger,160 g (0.35 lb / 5.64 oz),99 x 56 x 22 mm (3.9 x 2.2 x 0.87″),Yes,None,,,,,,,,,,,,,,
Canon PowerShot SD1400 IS / IXUS 130 / IXY 400F,https://www.dpreview.com/products/canon/compacts/canon_sd1400is/specifications,Ultracompact,4320 x 3240,"4320 x 2432, 3456 x 2592, 2592 x 1944, 2144 x 1608, 1600 x 1200, 640 x 480","4:3, 16:9",14 megapixels,15 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Fine, Normal",28–112 mm,4×,F2.8–5.9,Contrast Detect (sensor)SingleLive View,Yes (4x),No,50 cm (19.69″),3 cm (1.18″),Fixed,2.7″,230000,No,No,None,15 sec,1/1500 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, On, Off, Red-eye, Fill-in, Slow Syncro",0.7 fps,"Yes (2 sec or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps), 640 x 480 (30 fps), 320 x 240 (30 fps)",H.264,Mono,SD/SDHC/SDXC/MMC/MMCplus/MMCplus HC,USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-4L battery & charger,133 g (0.29 lb / 4.69 oz),92 x 56 x 18 mm (3.62 x 2.2 x 0.71″),Yes,,,,,,,,,,,,,,,,
Canon PowerShot SD1300 IS / IXUS 105 / IXY 200F,https://www.dpreview.com/products/canon/compacts/canon_sd1300is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 140","4:3, 16:9",12 megapixels,13 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",5,Yes,Optical,No,"Fine, Normal",28–112 mm,4×,F2.8–5.9,Contrast Detect (sensor)SingleLive View,Yes (4x),No,50 cm (19.69″),3 cm (1.18″),Fixed,2.7″,230000,No,No,None,15 sec,1/1500 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, On, Off, Red-eye, Fill-in, Slow Syncro",0.9 fps,"Yes (2 sec or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/SDXC/MMC/MMCplus/MMCplus HC,USB 2.0 (480 Mbit/sec),No,No,Battery Pack,Lithium-Ion NB-6L battery & charger,140 g (0.31 lb / 4.94 oz),91 x 56 x 22 mm (3.58 x 2.2 x 0.87″),Yes,,,,,,,,,,,,,,,,
Canon EOS 550D (EOS Rebel T2i / EOS Kiss X4),https://www.dpreview.com/products/canon/slrs/canon_eos550d/specifications,Compact SLR,5184 x 3456,"3456 x 2304, 2592 x 1728",3:2,18 megapixels,19 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Digic 4,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800 (with boost)",12800,6,Yes,No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,9,Canon EF/EF-S,1.6×,Fixed,3″,1040000,No,TFT color liquid-crystal LCD,Yes,Optical (pentamirror),95%,0.87× (0.54× 35mm equiv.),30 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),13.00 m,"Yes (Hot-shoe, E-TTL II)","Auto, On, Off,  Red-eye",3.7 fps,Yes (2 sec or 10 sec),MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±2 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (30, 25, 24 fps), 1280 x 720 (60, 50 fps), 640 x 480 (60, 50 fps)",H.264,Stereo,SD/SDHC/SDXC,None,USB 2.0 (480 Mbit/sec),Yes (HDMI mini),Eye-Fi Connected,"Yes (E3 connector, InfraRed)",No,Battery Pack,Lithium-Ion LP-E8 rechargeable battery & charger,530 g (1.17 lb / 18.70 oz),129 x 98 x 62 mm (5.08 x 3.86 x 2.44″),Yes,Yes (by USB cable and PC),None,,,,,,,
Canon PowerShot A495,https://www.dpreview.com/products/canon/compacts/canon_a495/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80, 100, 200, 400, 800, 1600",5,Yes,No,No,37–122 mm,3.3×,F3–5.8,Contrast Detect (sensor)SingleLive View,Yes (4x),No,1 cm (0.39″),9,Fixed,2.5″,115000,No,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Slow Sync",0.9 fps,"Yes (2 or 10 sec, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/SDXC/MMC/MMCplus/HC MMCplus,USB 2.0 (480 Mbit/sec),AA,2 x AA batteries (Alkaline or NiMH),175 g (0.39 lb / 6.17 oz),94 x 62 x 31 mm (3.7 x 2.44 x 1.22″),No,None,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A490,https://www.dpreview.com/products/canon/compacts/canon_a490/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",10 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto, 80, 100, 200, 400, 800, 1600",5,Yes,No,No,37–122 mm,3.3×,F3–5.8,Contrast Detect (sensor)SingleLive View,Yes (4x),No,1 cm (0.39″),5,Fixed,2.5″,115000,No,Yes,None,15 sec,1/2000 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Slow Sync",0.9 fps,"Yes (2 or 10 sec, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SC/SDHC/MMC/MMCplus/HC MMCplus,USB 2.0 (480 Mbit/sec),AA,2 x AA batteries (Alkaline or NiMH),175 g (0.39 lb / 6.17 oz),94 x 62 x 31 mm (3.7 x 2.44 x 1.22″),No,,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A3100 IS,https://www.dpreview.com/products/canon/compacts/canon_a3100is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto,100, 200, 400, 800, 1600",Optical,No,"Fine, Normal",35–140 mm,4×,F2.7–5.6,Contrast Detect (sensor)SingleLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.7″,230000,No,Yes,None,15 sec,1/1600 sec,No,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Red-Eye, Fill-in, Slow Sync",0.8 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/SDXC/MMC/MMCplus/HD MMCplus,USB 2.0 (480 Mbit/sec),No,No,Battery Pack,Lithium-Ion NB-8L rechargeable battery & charger,165 g (0.36 lb / 5.82 oz),97 x 58 x 28 mm (3.82 x 2.28 x 1.1″),,,,,,,,,,,,,,,,,,,,,
Canon PowerShot A3000 IS,https://www.dpreview.com/products/canon/compacts/canon_a3000is/specifications,Compact,3648 x 2736,"2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 320 x 240","4:3, 3:2",10 megapixels,11 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,"Auto,100, 200, 400, 800, 1600",Optical,No,"Fine, Normal",35–140 mm,4×,F2.7–5.6,Contrast Detect (sensor)SingleLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.7″,230000,No,Yes,None,15 sec,1/1600 sec,Yes,No,No,Yes,Yes,3.00 m,No,"Auto, On, Off, Red-Eye, Fill-in, Slow Sync",0.8 fps,"Yes (2 or 10 sec, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320 x 240 (30 fps)",Motion JPEG,Mono,SD/SDHC/SDXC/MMC/MMCplus/HD MMCplus,USB 2.0 (480 Mbit/sec),No,No,Battery Pack,Lithium-Ion NB-8L rechargeable battery & charger,165 g (0.36 lb / 5.82 oz),97 x 58 x 28 mm (3.82 x 2.28 x 1.1″),,,,,,,,,,,,,,,,,,,,
Canon EOS-1D Mark IV,https://www.dpreview.com/products/canon/slrs/canon_eos1dmkiv/specifications,Large SLR,4896 x 3264,"4320 x 2880, 3672 x 2448, 3552 x 2368, 2448 x 1632",3:2,16 megapixels,17 megapixels,APS-H (27.9 x 18.6 mm),CMOS,Digic 4,"100, 200, 400, 800, 1600, 3200, 6400, 12800 (50, 25600, 51200 and 102400 with boost)",50,102400,8,Yes,No,RAW,"Fine, Normal (can have ratios programmed)",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,45,Canon EF,1.3×,Fixed,3″,920000,No,Yes,Optical (pentaprism),100%,0.76× (0.58× 35mm equiv.),30 sec,1/8000 sec,Yes,Yes,Yes,No,No,Yes (Hot-shoe plus Sync connector),External,10.0 fps,Yes (2 or 10 sec),MultiCenter-weightedSpot,"±3 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (30, 25, 24 fps, 1280 x 720 (60, 50 fps), 640 x 480 (60, 50 fps)",H.264,Stereo,"Compact Flash (Type I or II), UDMA, SD/SDHC card",None,USB 2.0 (480 Mbit/sec),Yes,Eye-Fi Connected,(Optional),Yes (N3 connector),Yes,Battery Pack,Lithium-Ion LP-E4 rechargeable battery & charger,1500,1230 g (2.71 lb / 43.39 oz),156 x 157 x 80 mm (6.14 x 6.18 x 3.15″),Yes,Yes (by cable and PC),None,,,,,,
Canon EOS 7D,https://www.dpreview.com/products/canon/slrs/canon_eos7d/specifications,Mid-size SLR,5184 x 3456,"5184 x 3456, 3888 x 2592, 3456 x 2304, 2592 x 1728",3:2,18 megapixels,19 megapixels,APS-C (22.3 x 14.9 mm),CMOS,Dual Digic 4,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, (12800 with boost)",12800,6,Yes (1),No,RAW,"Fine, Normal",Contrast Detect (sensor)Phase DetectMulti-areaSelective single-pointSingleContinuousFace DetectionLive View,No,Yes,19,Canon EF/EF-S,1.6×,Fixed,3″,920000,No,"TFT color LCD, liquid-crystal monitor",Yes,Optical (pentaprism),100%,1× (0.62× 35mm equiv.),30 sec,1/8000 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),12.00 m,"Yes (Hot-shoe, Wireless plus Sync connector)","Auto, On, Off,  Red-eye",8.0 fps,Yes (2 or 10 sec),MultiCenter-weightedSpotPartial,"±5 (at 1/3 EV, 1/2 EV steps)","±3 (3 frames at 1/3 EV, 1/2 EV steps)",Yes (3 frames in either blue/amber or magenta/green axis),"1920 x 1080 (30, 25, 24 fps), 1280 x 720 (60, 50 fps), 640 x 480 (60, 50 fps)",H.264,Mono,None,"Compact Flash (Type I or II), UDMA, Microdrive cards",None,USB 2.0 (480 Mbit/sec),Yes,Yes (N3 connector),"Yes (Water-resistant, Dust-resistant)",Battery Pack,Lithium-Ion LP-E6 rechargeable battery & charger,800,860 g (1.90 lb / 30.34 oz),148 x 111 x 74 mm (5.83 x 4.37 x 2.91″),Yes,Yes (by USB cable and PC),Optional,GP-E2,,,,,
Canon PowerShot S90,https://www.dpreview.com/products/canon/compacts/canon_s90/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",10 megapixels,10 megapixels,"1/1.7"" (7.44 x 5.58 mm)",CCD,Digic 4,"Auto, 80, 100, 125, 160, 200, 250, 320, 400, 500, 640, 800, 1000, 1250, 1600, 2000, 2500, 3200",7,Yes,Optical,RAW,"Fine, Normal",28–105 mm,3.8×,F2–4.9,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4x),Yes,50 cm (19.69″),5 cm (1.97″),9,Fixed,3″,461000,No,Yes,None,15 sec,1/1600 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),6.50 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.9 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",H.264,Mono,"SD, SDHC, MMC, MMCplus, HC MMCplus card",USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-6L rechargeable battery & charger,195 g (0.43 lb / 6.88 oz),100 x 58 x 31 mm (3.94 x 2.28 x 1.22″),Yes,,,,,,,,,,,,,,,
Canon PowerShot G11,https://www.dpreview.com/products/canon/compacts/canon_g11/specifications,Compact,3648 x 2736,"3648 x 2048, 2816 x 2112, 2272 x 1704, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",10 megapixels,10 megapixels,"1/1.7"" (7.44 x 5.58 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600, 3200",6,Yes,Optical,RAW,"Fine, Normal",28–140 mm,5×,F2.8–4.5,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4x),Yes,1 cm (0.39″),9,Fully articulated,2.8″,461000,No,Yes,Optical (tunnel),15 sec,1/4000 sec,Yes,Yes,Yes,Yes,Yes,7.00 m,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync, Second Curtain",1.1 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"640 x 480 (30 fps), 320  x 240 (30 fps)",H.264,Mono,"SD, SDHC, MMC, MMCplus, HC MMCplus card",Unknown,USB 2.0 (480 Mbit/sec),Yes,Yes (Optional),No,Battery Pack,Lithium-Ion NB-7L rechargeable battery & charger,375 g (0.83 lb / 13.23 oz),112 x 76 x 48 mm (4.41 x 2.99 x 1.89″),Yes,No,,,,,,,,,,,,,
Canon PowerShot SD940 IS / Digital IXUS 120 IS,https://www.dpreview.com/products/canon/compacts/canon_sd940is/specifications,Ultracompact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Fine, Normal",28–112 mm,4×,F2.8–5.9,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,2.7″,230000,No,No,None,15 sec,1/1500 sec,No,No,No,Yes,Yes,4.00 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.8 fps,"Yes (2, 10, Custom, Face)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps) 640 x 480 (30 fps), 320 x 240 (30, 15 fps)",H.264,Mono,None,"SD, SDHC, MMC, MMCplus, HC MMCplus",USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-4L rechargeable battery & charger,120 g (0.26 lb / 4.23 oz),89 x 55 x 20 mm (3.5 x 2.17 x 0.79″),Yes,None,,,,,,,,,,,,,,,
Canon PowerShot SD980 IS / Digital IXUS 200 IS,https://www.dpreview.com/products/canon/compacts/canon_sd980is/specifications,Compact,4000 x 3000,"4000 x 2248, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Fine, Normal",24–120 mm,5×,F2.8–5.9,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4x),No,3 cm (1.18″),9,Fixed,3″,230000,Yes,No,None,15 sec,1/3000 sec,No,No,Yes,Yes,Yes,6.50 m,No,"Auto, On, Off, Red-Eye, Slow Sync",0.8 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps) 640 x 480 (30 fps), 320 x 240 (30, 15 fps)",H.264,Mono,None,"SD, SDHC, MMC, MMCplus, HC MMCplus",USB 2.0 (480 Mbit/sec),Yes,No,Battery Pack,Lithium-Ion NB-6L rechargeable battery & charger,150 g (0.33 lb / 5.29 oz),100 x 53 x 23 mm (3.94 x 2.09 x 0.91″),Yes,None,,,,,,,,,,,,,,,
Canon PowerShot SX20 IS,https://www.dpreview.com/products/canon/compacts/canon_sx20is/specifications,SLR-like (bridge),4000 x 3000,"3840 x 2160, 3264 x 2448, 2592 x 1944, 1600 x 1200, 640 x 480, 320 x 240","4:3, 16:9",12 megapixels,12 megapixels,"1/2.3"" (6.17 x 4.55 mm)",CCD,Digic 4,"Auto, 80 ,100, 200, 400, 800, 1600",6,Yes,Optical,No,"Fine, Normal",28–560 mm,20×,F2.8–5.7,Contrast Detect (sensor)Multi-areaSingleLive View,Yes (4x),Yes,0 cm (0″),9,Fully articulated,2.5″,230000,No,Yes,Electronic,15 sec,1/3200 sec,Yes,Yes,Yes,Yes,Yes (Pop-up),6.80 m,Yes (Hot-shoe),"Auto, On, Off, Red-Eye, Slow Sync, Fill-in",0.7 fps,"Yes (2 or 10 sec, Custom)",MultiCenter-weightedSpot,±2 (at 1/3 EV steps),"1280 x 720 (30 fps) 640 x 480 (30 fps), 320 x 240 (30, 15 fps)",H.264,Stereo,SD / SDHC / MMC / MMC Plus / HC MMC Plus,USB 2.0 (480 Mbit/sec),Yes,No,No,AA,4 x AA batteries (Alkaline or  NiMH),600 g (1.32 lb / 21.16 oz),128 x 88 x 87 mm (5.04 x 3.46 x 3.43″),Yes,No,,,,,,,,,,,,,,
